Customer_ID,Account_Number
1409,3334799664
1520,5858456593
1488,8268916871
1434,5924562641
1106,6600955228
1711,9359491014
1750,7834027827
1916,4297076131
1525,3606517080
1771,8405611782
1188,5087876256
1053,5101913760
1009,3733461689
1319,6730698191
1949,3217337132
1344,1322060399
1117,5059015523
1964,4977330607
1514,5455634687
1887,5330765328
1993,7372634805
1828,1477096961
1241,9615236685
1960,2061742064
1035,9030957760
1958,4779137718
1998,8859301687
1936,5835857609
1821,9800965219
1931,9189853166
1651,1112729226
1152,6361566970
1128,1966088651
1832,2025497024
1722,2930172860
1058,1125506598
1158,1157771113
1590,7363532024
1685,5727349037
1653,6658494712
1653,6658494712
1406,6615175782
1634,8953013516
1387,8806099647
1452,1374736832
1626,9974926617
1727,1492417800
1027,9483870638
1006,4220863567
1400,4400156805
1757,3018176579
1090,6221413488
1822,9280782675
1320,1479011764
1096,8974804213
1475,7314394350
1441,8591506799
1444,9473321348
1823,6127897303
1317,2850733732
1853,9479858251
1659,1992006484
1659,1992006484
1508,3897756110
1333,4268418626
1420,5255316384
1672,1801248380
1207,6607773451
1470,2052463740
1166,5996418672
1282,8859084754
1231,6540785880
1745,7416398798
1893,2949306060
1200,5907730882
1841,1013343914
1878,6046381494
1986,7550064137
1043,7376034192
1534,7771065861
1977,6512256472
1423,9917597402
1339,7368666052
1601,2358961337
1018,5102611752
1888,5926890511
1845,6026110651
1472,2788831866
1224,1750821255
1042,8206651996
1715,9426173077
1606,8019235213
1251,2764024904
1588,6147970594
1474,9369885242
1753,7278262300
1919,2309948279
1153,7588919626
1359,5866075091
1132,8313199661
1803,1558605632
1645,7474924386
